Biały;Blond;Biały;Srebrnosiwy;BrzozowoBiały
Złoty,blond;Siwy;Lniany;Popielaty;Blond
Rudoblond;Jasny,blond;Rudawy;Jasny,blond;R?owe,z?oto
Złoty;Brązowy;Złoty;Miodowoblond;Miodowoblond
Złoty;Brązowy;Złoty;Miodowoblond;Miodowoblond
Złoty;Brązowy;Złoty;Miodowoblond;Miodowoblond
Jasny,Brąz;Miedziany;Kasztanowy;Żółty;Brązowy
Jasny,Brąz;Miedziany;Kasztanowy;Żółty;Brązowy
Jasny,Brąz;Miedziany;Kasztanowy;Żółty;Brązowy
Ciemny,Brąz;Brąz;Rudy;Miedziany,blond;Mahoniowy
Ciemny,Brąz;Brąz;Rudy;Miedziany,blond;Mahoniowy
Ciemny,Brąz;Brąz;Rudy;Miedziany,blond;Mahoniowy
Ciemny,Brąz;Brąz;Rudy;Miedziany,blond;Mahoniowy
Czarny;Brąz;Musztardowy;Blond;Ciemny,Brąz
Czarny;Brąz;Musztardowy;Blond;Ciemny,Brąz
Czarny;Brąz;Musztardowy;Blond;Ciemny,Brąz
Kasztanowy;Ciemny,Brąz;Migdałowy;Migdałowy;Sjena
Rudy;Rudy,brąz;Czekoladowy;Czerwony;Hebanowy
Siwy;Czarny;Lukrecjowy;Czarny;Niebiesko-czarny
Dowolny,wybór;Czarny,jak,węgiel;Jasnoszary;Czarny,jak,smoła;Koloru,kości,słoniowej
Zielony;Szary,jak,ołów;Szary;Ametystowy;Antracyt
Błękitny;Stalowoszary;Błękitny;Akwamaryna;Zielony,jak,bluszcz
Niebieski;Niebieski;Niebieski;Szafirowy;Zielony,jak,mech
Niebieski;Niebieski;Niebieski;Szafirowy;Zielony,jak,mech
Niebieski;Niebieski;Niebieski;Szafirowy;Zielony,jak,mech
Blady,szary;Brązowy,jak,ziemia;Zielony;Turkusowy;Kasztanowy
Blady,szary;Brązowy,jak,ziemia;Zielony;Turkusowy;Kasztanowy
Blady,szary;Brązowy,jak,ziemia;Zielony;Turkusowy;Kasztanowy
Blady,szary;Brązowy,jak,ziemia;Zielony;Turkusowy;Kasztanowy
Szary;CiemnoBrązowy;Orzechowy;Szmaragdowy;Kasztanowy
Szary;CiemnoBrązowy;Orzechowy;Szmaragdowy;Kasztanowy
Szary;CiemnoBrązowy;Orzechowy;Szmaragdowy;Kasztanowy
Brązowy;Orzechowy;Brązowy;Bursztynowy;CiemnoBrązowy
Brązowy;Orzechowy;Brązowy;Bursztynowy;CiemnoBrązowy
Brązowy;Orzechowy;Brązowy;Bursztynowy;CiemnoBrązowy
Orzechowy;Zielony;Miedziany;Miedziany;JasnoBrązowy
CiemnoBrązowy;Ciemny,miedziany;CiemnoBrązowy;CytrynowoŻółty;ZłotoBrązowy
Czarny;Złoty;CiemnoBrązowy;Złoty;Fiołkowy

