Bia³y;Blond;Bia³y;Srebrnosiwy;BrzozowoBia³y
Z³oty,blond;Siwy;Lniany;Popielaty;Blond
Rudoblond;Jasny,blond;Rudawy;Jasny,blond;R?owe,z?oto
Z³oty;Br¹zowy;Z³oty;Miodowoblond;Miodowoblond
Z³oty;Br¹zowy;Z³oty;Miodowoblond;Miodowoblond
Z³oty;Br¹zowy;Z³oty;Miodowoblond;Miodowoblond
Jasny,Br¹z;Miedziany;Kasztanowy;¯ó³ty;Br¹zowy
Jasny,Br¹z;Miedziany;Kasztanowy;¯ó³ty;Br¹zowy
Jasny,Br¹z;Miedziany;Kasztanowy;¯ó³ty;Br¹zowy
Ciemny,Br¹z;Br¹z;Rudy;Miedziany,blond;Mahoniowy
Ciemny,Br¹z;Br¹z;Rudy;Miedziany,blond;Mahoniowy
Ciemny,Br¹z;Br¹z;Rudy;Miedziany,blond;Mahoniowy
Ciemny,Br¹z;Br¹z;Rudy;Miedziany,blond;Mahoniowy
Czarny;Br¹z;Musztardowy;Blond;Ciemny,Br¹z
Czarny;Br¹z;Musztardowy;Blond;Ciemny,Br¹z
Czarny;Br¹z;Musztardowy;Blond;Ciemny,Br¹z
Kasztanowy;Ciemny,Br¹z;Migda³owy;Migda³owy;Sjena
Rudy;Rudy,br¹z;Czekoladowy;Czerwony;Hebanowy
Siwy;Czarny;Lukrecjowy;Czarny;Niebiesko-czarny
Dowolny,wybór;Czarny,jak,wêgiel;Jasnoszary;Czarny,jak,smo³a;Koloru,koœci,s³oniowej
Zielony;Szary,jak,o³ów;Szary;Ametystowy;Antracyt
B³êkitny;Stalowoszary;B³êkitny;Akwamaryna;Zielony,jak,bluszcz
Niebieski;Niebieski;Niebieski;Szafirowy;Zielony,jak,mech
Niebieski;Niebieski;Niebieski;Szafirowy;Zielony,jak,mech
Niebieski;Niebieski;Niebieski;Szafirowy;Zielony,jak,mech
Blady,szary;Br¹zowy,jak,ziemia;Zielony;Turkusowy;Kasztanowy
Blady,szary;Br¹zowy,jak,ziemia;Zielony;Turkusowy;Kasztanowy
Blady,szary;Br¹zowy,jak,ziemia;Zielony;Turkusowy;Kasztanowy
Blady,szary;Br¹zowy,jak,ziemia;Zielony;Turkusowy;Kasztanowy
Szary;CiemnoBr¹zowy;Orzechowy;Szmaragdowy;Kasztanowy
Szary;CiemnoBr¹zowy;Orzechowy;Szmaragdowy;Kasztanowy
Szary;CiemnoBr¹zowy;Orzechowy;Szmaragdowy;Kasztanowy
Br¹zowy;Orzechowy;Br¹zowy;Bursztynowy;CiemnoBr¹zowy
Br¹zowy;Orzechowy;Br¹zowy;Bursztynowy;CiemnoBr¹zowy
Br¹zowy;Orzechowy;Br¹zowy;Bursztynowy;CiemnoBr¹zowy
Orzechowy;Zielony;Miedziany;Miedziany;JasnoBr¹zowy
CiemnoBr¹zowy;Ciemny,miedziany;CiemnoBr¹zowy;Cytrynowo¯ó³ty;Z³otoBr¹zowy
Czarny;Z³oty;CiemnoBr¹zowy;Z³oty;Fio³kowy

